지역,이름,사업자,소재지,면적(제곱미터),홀,구분
경기,안성컨트리클럽,㈜한일,경기도 안성시 죽산면 걸미로 487,1088870,18,회원제
경기,안성베네스트G.C,삼성물산㈜,경기도 안성시 금광면 삼흥로 660,1768847,27,회원제
경기,안성베네스트골프클럽 일반대중홀,삼성물산㈜,경기도 안성시 금광면 삼흥로 660,504230,9,대중제
경기,신안컨트리클럽,신안종합레져㈜,경기도 안성시 고삼면 개울말길 149,1102867,18,회원제
경기,신안 퍼블릭 CC,신안종합레져㈜,경기도 안성시 고삼면 개울말길 149,297073,9,대중제
경기,윈체스트 골프클럽 대중,㈜다림개발,경기도 안성시 서운면 오촌길 97-31,826514,18,대중제
경기,포웰CC 안성,엔에이치투자증권㈜,경기도 안성시 양성면 약산길 67-6,1189331,18,대중제
경기,골프존카운티 안성W,㈜골프존카운티,경기도 안성시 양성면 교동길 19-70,565751,18,대중제
경기,한림안성,일송개발㈜,경기도 안성시 양성면 양성로 349-61,262268,9,대중제
경기,에덴블루 컨트리클럽,죽산개발㈜,경기도 안성시 죽산면 녹배길 175,1238246,27,대중제
경기,이글몬트CC,주식회사 지씨에이치피,경기도 안성시 보개면 보삼로 106,1623018,27,대중제
경기,필로스 골프클럽,㈜선운,경기도 포천시 일동면 운악청계로 1507,1519198,27,대중제
경기,포천아도니스 C.C,㈜아도니스,경기도 포천시 신북면 포천로 2499,1538257,27,회원제
경기,포천아도니스 대중골프장,㈜아도니스,경기도 포천시 신북면 포천로 2499,318701,9,대중제
경기,베어크리크골프클럽,㈜삼보개발,경기도 포천시 화현면 달인동로 35,2255081,36,대중제
경기,몽베르 컨트리클럽(회원제),몽베르컨트리클럽㈜,경기도 포천시 영북면 산정호수로 359-12,1209665,18,회원제
경기,몽베르 컨트리클럽(비회원제),몽베르컨트리클럽㈜,경기도 포천시 영북면 산정호수로 359-13,1492261,18,대중제
경기,일동레이크 골프클럽,농심개발㈜,경기도 포천시 일동면 화동로 738,1154046,18,회원제
경기,일동레이크대중제골프장,농심개발㈜,경기도 포천시 일동면 화동로 738,433658,12,대중제
경기,푸른솔 골프클럽 포천,유진레저(주),경기도 포천시 가산면 금우로276,1415138,27,대중제
경기,포천힐스 컨트리클럽,㈜한경엘앤디,경기도 포천시 군내면 반월산성로 375번길 34,1457261,27,대중제
경기,포레스트힐 컨트리클럽,화현개발㈜,경기도 포천시 화현면 봉화로 253,1469871,24,대중제
경기,참밸리 컨트리클럽,㈜참빛글로벌이앤씨,경기도 포천시 삼육사로 1982,1085944,18,대중제
경기,샴발라 컨트리클럽,㈜샴발라,경기도 포천시 군내면 청군로 2856-93,853588,18,대중제
경기,라싸 골프클럽,라싸디벨로프먼트㈜,경기도 포천시 이동면 제비울2길 161,1494588,27,대중제
경기,힐마루 골프앤리조트 포천,㈜동훈,경기도 포천시 영중면 금화봉 4길 77-1,2701800,45,대중제
경기,더스타휴 컨트리클럽,(주)한창산업개발,경기도 양평군 양동면 양동로 756,1107409,18,회원제
경기,양평TPC GC,대지개발㈜,경기도 양평군 지평면 대평평장길 113-8,1901420,27,대중제
